country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,collection_time
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",05-09-2026 21:00:00,28.5710274,77.0719006,NH3,4.0,12.0,6.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",05-09-2026 21:00:00,28.498571,77.26484,NO2,17.0,40.0,27.0,2026-09-05 16:37:06
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",05-09-2026 21:00:00,28.54246,77.191651,NH3,,,,2026-09-05 16:37:06
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",05-09-2026 21:00:00,28.54246,77.191651,SO2,,,,2026-09-05 16:37:06
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",05-09-2026 21:00:00,28.54246,77.191651,OZONE,15.0,22.0,18.0,2026-09-05 16:37:06
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",05-09-2026 21:00:00,28.493624,77.201159,PM10,15.0,47.0,34.0,2026-09-05 16:37:06
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",05-09-2026 21:00:00,28.493624,77.201159,CO,57.0,67.0,63.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",05-09-2026 21:00:00,28.615828,77.271992,SO2,2.0,3.0,3.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",05-09-2026 21:00:00,28.62181,77.1944633,NO2,10.0,44.0,28.0,2026-09-05 16:37:06
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-09-2026 21:00:00,28.60909,77.0325413,PM2.5,10.0,31.0,20.0,2026-09-05 16:37:06
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-09-2026 21:00:00,28.60909,77.0325413,NH3,6.0,9.0,7.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",05-09-2026 21:00:00,28.4706914,77.1099364,NO2,13.0,35.0,21.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",05-09-2026 21:00:00,28.4706914,77.1099364,SO2,,,,2026-09-05 16:37:06
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",05-09-2026 21:00:00,28.4706914,77.1099364,CO,26.0,40.0,32.0,2026-09-05 16:37:06
